"id","pubkey","created_at","content"
"d53c038a659edd0452fe7d02c40f687aa461c32a9890f839e112896db283de8d","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737255618","""hitchmap.com Swagg: Got picked up by the first car, but I’ve been told there’s a lot of them going on that road, good spot to go to Stryne"""
"7f832ba55f97696d7c06557755c2d8eb365973b146adc47e8b44d718c07d38c4","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737255610","""hitchmap.com Abc567: Unsuccessfully waited here for 4 hours on a saturday then gave up"""
"1265752b877015c702fb2e6d82f29c34adb00423bc2bdf33dd7ed1e80760bc88","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737255602","""hitchmap.com florabarangol: It’s not the best spot for the cars to stop, but I got a ride in 3 mins. Lucky day :)"""
"11a58444c51a6ad6a6f18a2f2ff925c7440cd3184a747122ef4685fd3da069b9","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169283","""hitchmap.com CarlitosPL: Quite okay spot. When I was hitching in January 2025 the servo was closed and the traffic was going slower (60) due to ongoing construction works. I camped behind the station no need to go onto the horse place. """
"9eb50ee93eecc91d4be068047efac2447e82bcc58be8580ebd1b0de2cb704cbd","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169275","""hitchmap.com Abc567: Theoretically a good spot with enough place to stop for cars, however most cars will be using the main E65/E75 for longer rides. I waited for 90min until it got dark and then walked to Paleofarsalos where there is buses & trains"""
"0394c444629b8bd4a8db06da17f6300f454881636d8cf7ff8fa6a8d9ecf3bb0b","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169267","""hitchmap.com Abc567: Good spot with enough place to stop. I stood after the toll station a bit away from the police station and when the cops asked me I said I was waiting for a friend. Also busses pass for Plan B. The gate at the fence should be open."""
"004c86078b484cc6a857460d3d4a626890b26f0393564a80ad571523d13c4268","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169259","""hitchmap.com Abc567: Got a ride to the next toll station a few km north from here"""
"b2dc6f1abf1d6d89ae1d6c7111219d23aebde5f7742ae1dd36207df1c21ff976","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169251","""hitchmap.com Swagg: Waited 20 minutes before a car took me out of Bergen """
"816421969bf96beea6cfa7777f7c69554ff811a67d9830868c8b46bf23742a9d","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169243","""hitchmap.com ZLB: Tore my ACL here trying to impress the beautiful Federica. Luckily the hospital was literally right there. I believe I am still a wanted man in Orbetello for skipping town. 10/10 would reccomend"""
"a1d67d1bdb64842fe285d97bed8531634d8b0e89c13bb68de516464201e9e136","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169235","""hitchmap.com ZLB: Tough, tough spot to get a ride north. Had to be very tenacious and pull out all the stops. Will=Way"""
"cd1cdf3b3740ff9507b29a85f430310792bcea45a7867919cdb8b714a116fe00","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169227","""hitchmap.com ZLB: Picked up by a nice dude who took me to Rotterdam. Didn't have to wait too long."""
"b0fed08f3c962523cc43c46db9c5533d6e7ed98105780775cbb820f600a9ab4f","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169219","""hitchmap.com ZLB: Picked up by a very nice young couple who took me as far as Brecht. They went out of their way to help me."""
"c5591e8f091b63f2814aec592c8fe05947c69c7240e3d4da6d653154e4df915f","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169211","""hitchmap.com ZLB: Tough spot to get a lift. Best bet is to walk a bit down the road West(?) of NATO HQ. Also saw a bunch of Ukranian staff officers here. Go figure!"""
"386a8c13172535e0744be9d66a8af2e760db99c852c73ed121b36ddfdbcd607b","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737169203","""hitchmap.com : Tough spot to get a ride to Antwerp. Best bet is to accost traffic at the stoplight down the road, a little West(?) of nato HQ. Also saw a bunch of Ukranian staff officers here. -ZLB, July 2023"""
"aab72d34db3d0cbdc9b87d4ab86a4bf59b99d406408fdc15088c0bbfdf92a8a4","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082907","""hitchmap.com David: None"""
"e512c2c20f1aa8d8d5921f0abafa2597605fbdc8c7f0b4b693dfaeababae86f0","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082899","""hitchmap.com Olia: There should be a stop here for transport going to Uzhhorod, so it is convenient for cars to stop. Many people travel from Chop to Uzhhorod during the day to work or to the doctor"""
"d7626e6c1ba4c9e78ac4b59d699902b71a35823518500029b01c38db40aea790","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082891","""hitchmap.com : We only ask at one person and it was a direct yes ! In addition it was a collection car !"""
"4bb0006c6bb7995b1c144289f4191b2a6abd49d5c4acf0ec32be2c590a662439","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082883","""hitchmap.com CarlitosPL: Great spot for hitching north. Just stand on the exit ramp. Heaps of cars."""
"50a5954664b8d38833a428381cac4b2c1796600e17b0cf902ba8a48e9d319524","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082875","""hitchmap.com CarlitosPL: Got dropped here while hitching from Sydney. A car pulled up just after that and took me 1km to the Wyong Servo which is the best hitching spot in the area for going north"""
"928468383a760c8decef6f903c1206de5b190e28ca027b4dcf76ebe567b68cd8","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082867","""hitchmap.com : Stood with a thumb, but it might be better with a sign, since the drivers can go on the highway in 2 ways. """
"9812cb758c07fabbc72433670c7bd588fe9907e19532dc6b3b97807f77eff238","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082858","""hitchmap.com : Most people only go to Žiar nad Hronom, my tip would be to accept the ride and go to a bus stop before the highway. I tried for 6o minutes to get a direct ride to Nitra from here without a luck.\r\n\r\nA good option is to signal with a thumb or a sign at the exit of the gas station, there is a place for cars to stop. And if you see the car going to the gas station, moving there to ask them."""
"5ee9d550942dfaa733955696b43c52684942511fe1f99cc6a63b5161d9220ca7","53055ee011e96a00a705b38253b9cbc6614ccbd37df4dad42ec69bbe608c4209","1737082850","""hitchmap.com Dalby: Standing here with a Berlin sign, in the dark, on a tuesday afternoon 6PM. We were quite lucky to get a ride quite fast. """
